Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate
Ryan Tannehill,TEN,286,201,70.3,2742,9.6,22,7.7,6,2.1,91t,31,212,117.5
Drew Brees,NO,378,281,74.3,2979,7.9,27,7.1,4,1.1,61t,12,89,116.3
Lamar Jackson,BAL,401,265,66.1,3127,7.8,36,9.0,6,1.5,83t,23,106,113.3
Kirk Cousins,MIN,444,307,69.1,3603,8.1,26,5.9,6,1.4,66,28,206,107.4
Russell Wilson,SEA,516,341,66.1,4110,8.0,31,6.0,5,1.0,60t,48,319,106.3
Matthew Stafford,DET,291,187,64.3,2499,8.6,19,6.5,5,1.7,66,18,137,106.0
Patrick Mahomes,KC,484,319,65.9,4031,8.3,26,5.4,5,1.0,83t,17,127,105.3
Jimmy Garoppolo,SF,476,329,69.1,3978,8.4,27,5.7,13,2.7,75t,36,237,102.0
Derek Carr,OAK,513,361,70.4,4054,7.9,21,4.1,8,1.6,75,29,184,100.8
Dak Prescott,DAL,596,388,65.1,4902,8.2,30,5.0,11,1.8,62,23,151,99.7
Deshaun Watson,HOU,495,333,67.3,3852,7.8,26,5.3,12,2.4,54,44,257,98.0
Aaron Rodgers,GB,569,353,62.0,4002,7.0,26,4.6,4,0.7,74t,36,284,95.4
Carson Wentz,PHI,607,388,63.9,4039,6.7,27,4.4,7,1.2,53t,37,230,93.1
Matt Ryan,ATL,616,408,66.2,4466,7.2,26,4.2,14,2.3,93t,48,316,92.1
Case Keenum,WAS,247,160,64.8,1707,6.9,11,4.5,5,2.0,69t,15,145,91.3
Gardner Minshew,JAX,470,285,60.6,3271,7.0,21,4.5,6,1.3,70t,33,184,91.2
Philip Rivers,LAC,591,390,66.0,4615,7.8,23,3.9,20,3.4,84t,34,222,88.5
Tom Brady,NE,613,373,60.8,4057,6.6,24,3.9,8,1.3,59,27,185,88.0
Jacoby Brissett,IND,447,272,60.9,2942,6.6,18,4.0,6,1.3,50,27,159,88.0
Daniel Jones,NYG,459,284,61.9,3027,6.6,24,5.2,12,2.6,75t,38,295,87.7
Kyler Murray,ARI,542,349,64.4,3722,6.9,20,3.7,12,2.2,88t,48,309,87.4
Jared Goff,LA,626,394,62.9,4638,7.4,22,3.5,16,2.6,66,22,170,86.5
Ryan Fitzpatrick,MIA,502,311,62.0,3529,7.0,20,4.0,13,2.6,51,40,209,85.5
Josh Allen,BUF,461,271,58.8,3089,6.7,20,4.3,9,2.0,53t,38,237,85.3
Joe Flacco,DEN,262,171,65.3,1822,7.0,6,2.3,5,1.9,70t,26,194,85.1
Sam Darnold,NYJ,441,273,61.9,3024,6.9,19,4.3,13,2.9,92t,33,212,84.3
Jameis Winston,TB,626,380,60.7,5109,8.2,33,5.3,30,4.8,71t,47,282,84.3
Mitchell Trubisky,CHI,516,326,63.2,3138,6.1,17,3.3,10,1.9,53,38,234,83.0
Mason Rudolph,PIT,283,176,62.2,1765,6.2,13,4.6,9,3.2,76t,15,124,82.0
Kyle Allen,CAR,489,303,62.0,3322,6.8,17,3.5,16,3.3,52t,46,397,80.0
Baker Mayfield,CLE,534,317,59.4,3827,7.2,22,4.1,21,3.9,89t,40,285,78.8
Andy Dalton,CIN,528,314,59.5,3494,6.6,16,3.0,14,2.7,66t,37,249,78.3